Water Use,Power Use,Date,Zip,M_dist,Month,Year,ZPOP,ZAREA,ZAREALAND,Nreturns,AGI,SW,EIC,AWND,CLDD,HTDD,PRCP,TAVG
31.71,261,2008-03-01,90058,0.1620798820058213,3,2008,3223,15633185,15042486,1285,81758,39637.0,1270.0,3.2,6.7,91.5,0.8,15.6
6.33,390,2008-03-01,90405,0.3574370947910675,3,2008,27186,7310832,6854633,15207,1591677,1081064.0,1362.0,3.2,6.7,91.5,0.8,15.6
23.75,389,2008-03-01,91505,0.22335030808031142,3,2008,30778,13062729,13054296,16193,1035548,832882.0,2191.0,3.2,6.7,91.5,0.8,15.6
37.53,379,2008-03-01,90025,0.11728165590613125,3,2008,42147,6659051,6655173,23935,3135083,2187688.0,1848.0,3.2,6.7,91.5,0.8,15.6
22.72,333,2008-03-01,90019,0.23127851647939748,3,2008,64458,10080662,10070053,26684,1079060,871676.0,12640.0,3.2,6.7,91.5,0.8,15.6
31.92,611,2008-03-01,91367,0.16046345116717267,3,2008,39499,19304376,19272057,18718,1542546,1030183.0,2136.0,3.2,6.7,91.5,0.8,15.6
15.35,431,2008-03-01,90041,0.28800754162625575,3,2008,27425,9383338,9352825,12572,672172,541198.0,2964.0,3.2,6.7,91.5,0.8,15.6
28.67,429,2008-03-01,90048,0.18547964271768685,3,2008,21397,4882696,4882696,12691,1142542,753464.0,737.0,3.2,6.7,91.5,0.8,15.6
36.61,284,2008-03-01,90038,0.12436316243735375,3,2008,28917,4060536,4057211,12126,383710,330114.0,5979.0,3.2,6.7,91.5,0.8,15.6
10.2,0,2008-03-01,90305,0.3276485836216859,3,2008,14853,6023139,6006924,7493,355433,277202.0,3137.0,3.2,6.7,91.5,0.8,15.6
34.02,371,2008-03-01,90036,0.14429914278068656,3,2008,36865,6401943,6398643,18339,1671732,1069043.0,1727.0,3.2,6.7,91.5,0.8,15.6
22.45,298,2008-03-01,90011,0.2333567847005171,3,2008,103892,11100953,11100424,31937,749675,678783.0,31837.0,3.2,6.7,91.5,0.8,15.6
20.49,368,2008-03-01,90008,0.24844347252790416,3,2008,32327,9581974,9513430,13333,568468,426690.0,8102.0,3.2,6.7,91.5,0.8,15.6
95.02,244,2008-03-01,90057,0.32523552939819506,3,2008,44998,2327917,2293706,12404,318593,278374.0,8691.0,3.2,6.7,91.5,0.8,15.6
40.86,669,2008-03-01,91316,0.09164968117898904,3,2008,26898,13661450,12968532,13522,1448518,817004.0,1975.0,3.2,6.7,91.5,0.8,15.6
68.33,576,2008-03-01,90024,0.11979486709566471,3,2008,47452,7608226,7608226,15349,2872321,1258493.0,621.0,3.2,6.7,91.5,0.8,15.6
40.08,740,2008-03-01,91356,0.09765356715111245,3,2008,29458,18996187,18996187,13609,1416462,820382.0,2392.0,3.2,6.7,91.5,0.8,15.6
16.72,420,2008-03-01,90039,0.2774622547265006,3,2008,28514,10278733,9764431,14690,835615,645960.0,3457.0,3.2,6.7,91.5,0.8,15.6
19.66,348,2008-03-01,90059,0.2548322229854201,3,2008,40952,8624370,8581870,13711,351257,310497.0,15988.0,3.2,6.7,91.5,0.8,15.6
29.97,323,2008-03-01,90023,0.1754731660974812,3,2008,45903,11030884,10941450,16014,424592,386600.0,12081.0,3.2,6.7,91.5,0.8,15.6
18.16,366,2008-03-01,90002,0.26637815754719585,3,2008,51223,7930685,7930685,16133,396358,352279.0,19329.0,3.2,6.7,91.5,0.8,15.6
28.22,624,2008-03-01,91604,0.18894342308621961,3,2008,29034,13534045,13343410,15477,1599208,1065561.0,1105.0,3.2,6.7,91.5,0.8,15.6
36.73,374,2008-03-01,90004,0.12343948767241171,3,2008,62180,7894533,7894533,25057,1398965,891086.0,12199.0,3.2,6.7,91.5,0.8,15.6
24.2,374,2008-03-01,90710,0.2198865277117787,3,2008,25457,6108785,6106901,11094,533327,430446.0,4219.0,3.2,6.7,91.5,0.8,15.6
12.01,423,2008-03-01,90047,0.3137164892504765,3,2008,48606,12252335,12251863,21554,732794,600392.0,15609.0,3.2,6.7,91.5,0.8,15.6
22.26,508,2008-03-01,91345,0.2348192697450087,3,2008,18496,8429521,8396240,7918,342774,285279.0,2960.0,3.2,6.7,91.5,0.8,15.6
25.62,652,2008-03-01,91344,0.20895637632663094,3,2008,51747,43401915,42511968,23384,1485958,1102040.0,5065.0,3.2,6.7,91.5,0.8,15.6
35.95,1045,2008-03-01,90069,0.12944337364453506,3,2008,20483,5475785,5475785,14177,1726099,1147698.0,597.0,3.2,6.7,91.5,0.8,15.6
0.0,335,2008-03-01,91105,0.4061609386417613,3,2008,11254,9620106,9566884,5998,1101253,532513.0,311.0,3.2,6.7,91.5,0.8,15.6
30.03,500,2008-03-01,91343,0.17501132871501016,3,2008,60254,15344725,15310097,22781,1000607,809801.0,11617.0,3.2,6.7,91.5,0.8,15.6
17.17,383,2008-03-01,90042,0.27399847435796787,3,2008,62430,12111674,12027396,25542,992186,851844.0,13066.0,3.2,6.7,91.5,0.8,15.6
17.54,413,2008-03-01,90066,0.27115047716606316,3,2008,55277,12890748,12746971,27259,1824039,1310889.0,4138.0,3.2,6.7,91.5,0.8,15.6
25.61,582,2008-03-01,91423,0.20903334922370945,3,2008,30991,11361296,11299941,16267,1517134,1018153.0,1811.0,3.2,6.7,91.5,0.8,15.6
22.27,295,2008-03-01,90026,0.23474229684793022,3,2008,67869,11163835,10942889,29721,1130187,954653.0,13645.0,3.2,6.7,91.5,0.8,15.6
64.48,302,2008-03-01,90005,0.09016030172044026,3,2008,37681,2807559,2807559,13294,523049,369162.0,6680.0,3.2,6.7,91.5,0.8,15.6
20.65,323,2008-03-01,90018,0.24721190617464803,3,2008,49310,7500313,7500313,19138,563103,480700.0,15155.0,3.2,6.7,91.5,0.8,15.6
24.62,349,2008-03-01,91601,0.21665366603448147,3,2008,37180,6865017,6864519,17187,672829,579712.0,5821.0,3.2,6.7,91.5,0.8,15.6
23.4,377,2008-03-01,90022,0.22604435947805912,3,2008,67179,11357617,11346604,24562,711648,622985.0,17432.0,3.2,6.7,91.5,0.8,15.6
16.17,720,2008-03-01,91355,0.28169576406581837,3,2008,32605,40487220,40079320,15084,1228107,941804.0,1631.0,3.2,6.7,91.5,0.8,15.6
13.55,396,2008-03-01,90043,0.30186266310038673,3,2008,44789,10708405,10705820,19284,779185,615347.0,11914.0,3.2,6.7,91.5,0.8,15.6
664.61,0,2008-03-01,90071,4.709534774092773,3,2008,15,319155,319155,639,364405,75762.0,33.0,3.2,6.7,91.5,0.8,15.6
79.55,260,2008-03-01,90014,0.2061584576177475,3,2008,7005,733437,733437,2511,113271,91984.0,504.0,3.2,6.7,91.5,0.8,15.6
19.38,415,2008-03-01,90717,0.2569874641036182,3,2008,21318,5128003,5128003,9883,522782,424496.0,2541.0,3.2,6.7,91.5,0.8,15.6
25.75,478,2008-03-01,91401,0.20795572866461037,3,2008,39285,8968205,8943621,17251,842691,626352.0,7942.0,3.2,6.7,91.5,0.8,15.6
14.69,372,2008-03-01,90062,0.29308775283343713,3,2008,32821,5008337,5008337,12548,343409,300292.0,10989.0,3.2,6.7,91.5,0.8,15.6
31.51,262,2008-03-01,90033,0.1636193399473914,3,2008,48852,8535582,8461294,15460,403416,357181.0,13136.0,3.2,6.7,91.5,0.8,15.6
34.89,379,2008-03-01,91405,0.13760250073485664,3,2008,51145,8587857,8570051,19702,657140,545861.0,12448.0,3.2,6.7,91.5,0.8,15.6
23.36,312,2008-03-01,90031,0.22635225106637313,3,2008,39316,9148978,8945994,15058,454636,396598.0,10876.0,3.2,6.7,91.5,0.8,15.6
44.46,292,2008-03-01,90007,0.06393943823072716,3,2008,40920,6387018,6387018,12367,297574,262371.0,8488.0,3.2,6.7,91.5,0.8,15.6
166.11,233,2008-03-01,90017,0.8724358547292886,3,2008,23768,1881077,1881077,6831,422083,229419.0,4254.0,3.2,6.7,91.5,0.8,15.6
24.53,318,2008-03-01,90501,0.217346422108188,3,2008,43180,14667670,14565670,18738,1001985,808795.0,6276.0,3.2,6.7,91.5,0.8,15.6
34.3,358,2008-03-01,90731,0.14214390166248847,3,2008,59662,40481090,23803092,23793,1149101,940785.0,9937.0,3.2,6.7,91.5,0.8,15.6
35.06,524,2008-03-01,90293,0.13629396148452202,3,2008,12132,11404980,7420242,6827,651178,478869.0,294.0,3.2,6.7,91.5,0.8,15.6
14.16,406,2008-03-01,90291,0.29716731637859795,3,2008,28341,7335173,6462163,14804,1163845,807289.0,1875.0,3.2,6.7,91.5,0.8,15.6
33.34,713,2008-03-01,91311,0.14953329978202493,3,2008,36557,85493419,83081236,17369,1323653,900829.0,2888.0,3.2,6.7,91.5,0.8,15.6
17.98,619,2008-03-01,91214,0.2677636696946089,3,2008,30356,19598833,19546295,13591,1020702,742668.0,2260.0,3.2,6.7,91.5,0.8,15.6
34.69,489,2008-03-01,91504,0.13914195867642676,3,2008,24939,12812967,12783282,11784,763071,554937.0,2640.0,3.2,6.7,91.5,0.8,15.6
47.47,256,2008-03-01,90015,0.04077059621009711,3,2008,18986,4430188,4430188,6186,276327,196953.0,3903.0,3.2,6.7,91.5,0.8,15.6
57.7,289,2008-03-01,90028,0.03797267750121373,3,2008,28714,3947880,3947880,13672,456208,379216.0,3911.0,3.2,6.7,91.5,0.8,15.6
34.66,1174,2008-03-01,91436,0.13937287736766227,3,2008,14372,14891780,14751608,9098,2822651,1470964.0,480.0,3.2,6.7,91.5,0.8,15.6
42.63,1642,2008-03-01,90077,0.0780254783960936,3,2008,9377,19335985,18985951,4285,1525492,623153.0,147.0,3.2,6.7,91.5,0.8,15.6
39.36,297,2008-03-01,90232,0.10319561574076482,3,2008,15149,5490049,5454835,8201,620591,465313.0,1270.0,3.2,6.7,91.5,0.8,15.6
20.95,368,2008-07-01,90230,0.24490271926229287,7,2008,31766,11785759,11672688,15572,1008925,765127.0,3537.0,3.3,83.0,0.0,0.0,21.0
39.53,1038,2008-07-01,90272,0.10188707649043022,7,2008,22986,60557886,59133992,11165,3569670,1750980.0,355.0,3.3,83.0,0.0,0.0,21.0
36.7,769,2008-07-01,91607,0.12367040636364718,7,2008,27927,6376445,6318261,14046,814778,611688.0,2643.0,3.3,83.0,0.0,0.0,21.0
58.86,410,2008-07-01,90013,0.046901533562320304,7,2008,11772,1773762,1737681,3186,224173,115494.0,589.0,3.3,83.0,0.0,0.0,21.0
28.11,327,2008-07-01,90061,0.18979012495408315,7,2008,26872,6896569,6895207,10076,274753,238903.0,9757.0,3.3,83.0,0.0,0.0,21.0
47.18,667,2008-07-01,91352,0.04300281022537376,7,2008,47807,30813290,30221660,19128,725594,590656.0,11188.0,3.3,83.0,0.0,0.0,21.0
47.28,757,2008-07-01,91602,0.042233081254588696,7,2008,17473,5370807,5302419,10134,750225,555015.0,1006.0,3.3,83.0,0.0,0.0,21.0
264.4,0,2008-07-01,91350,1.629002460113916,7,2008,33348,43948937,43886336,14808,1054201,898276.0,1865.0,3.3,83.0,0.0,0.0,21.0
39.89,723,2008-07-01,90068,0.09911605219560403,7,2008,22286,20202252,19731266,11769,1181249,763067.0,645.0,3.3,83.0,0.0,0.0,21.0
477.0,862,2008-07-01,90067,3.2654462520029366,7,2008,2424,849895,849895,3606,2706966,1433083.0,80.0,3.3,83.0,0.0,0.0,21.0
39.44,454,2008-07-01,90045,0.10257983256413679,7,2008,39480,27779824,27779045,17824,1463823,1086342.0,2467.0,3.3,83.0,0.0,0.0,21.0
43.1,312,2008-07-01,90029,0.07440775223340387,7,2008,38617,3526895,3526895,16273,466077,401892.0,9186.0,3.3,83.0,0.0,0.0,21.0
31.02,837,2008-07-01,91335,0.16739101190423814,7,2008,74363,17083043,17002131,30759,1203789,1009025.0,14143.0,3.3,83.0,0.0,0.0,21.0
38.1,476,2008-07-01,90292,0.11289420077265647,7,2008,21576,8131830,5280289,12371,1368014,881361.0,564.0,3.3,83.0,0.0,0.0,21.0
30.45,448,2008-07-01,90248,0.17177846703771293,7,2008,9947,12398396,12155495,5122,291550,217194.0,1567.0,3.3,83.0,0.0,0.0,21.0
31.22,694,2008-07-01,91331,0.16585155396266804,7,2008,103689,23048758,22928415,38355,1185647,1043358.0,28065.0,3.3,83.0,0.0,0.0,21.0
30.73,729,2008-07-01,91340,0.1696232259195148,7,2008,34188,8756157,8756157,13322,445814,391047.0,8511.0,3.3,83.0,0.0,0.0,21.0
